total,EndMessageEvent,Lane,IntermediateMessageEventCatching,Pool,MessageFlow,TextAnnotation,Association_Undirected,SequenceFlow,Task,CollapsedPool,BPMNDiagram,Exclusive_Databased_Gateway,EndNoneEvent,ParallelGateway,InclusiveGateway,StartMessageEvent,StartNoneEvent,StartTimerEvent,DataObject,IntermediateMessageEventThrowing,Association_Unidirectional,IntermediateTimerEvent,DataStore,ITSystem,EndTerminateEvent,EventbasedGateway,CollapsedSubprocess,IntermediateSignalEventCatching,Subprocess,Message,IntermediateLinkEventCatching,IntermediateErrorEvent,ComplexGateway,StartEscalationEvent,EndEscalationEvent,IntermediateConditionalEvent,IntermediateCompensationEventThrowing,EndCompensationEvent,IntermediateCompensationEventCatching,EventSubprocess,StartCompensationEvent,EndCancelEvent,processparticipant,StartSignalEvent,IntermediateEscalationEvent,StartConditionalEvent,EndErrorEvent,IntermediateLinkEventThrowing,Group,Association_Bidirectional,IntermediateMultipleEventCatching,IntermediateEscalationEventThrowing,IntermediateEvent,StartErrorEvent,StartMultipleEvent,EndSignalEvent,IntermediateSignalEventThrowing,IntermediateCancelEvent,CollapsedEventSubprocess,StartParallelMultipleEvent,VerticalLane,VerticalPool,IntermediateParallelMultipleEventCatching,EndMultipleEvent,IntermediateMultipleEventThrowing,ChoreographyTask,ChoreographyParticipant,ChoreographySubprocessExpanded,ChoreographySubprocessCollapsed,CollapsedVerticalPool,fileName,
24,0,1,0,1,6,0,0,7,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003704227.meta.json,
179,0,2,7,2,8,2,2,82,35,0,1,10,10,0,2,2,3,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100389543.meta.json,
22,0,1,0,1,0,0,0,10,3,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003976445.meta.json,
4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004160798.meta.json,
36,0,2,2,1,0,0,2,13,8,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004162666.meta.json,
57,0,3,1,2,2,4,5,19,13,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004168502.meta.json,
141,7,4,5,4,14,10,10,47,14,1,1,6,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004218825.meta.json,
96,0,6,0,2,3,0,0,44,20,0,1,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004323525.meta.json,
27,0,0,0,0,0,0,0,9,5,0,1,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004369062.meta.json,
54,0,0,0,0,0,0,0,30,15,0,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004444520.meta.json,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004549695.meta.json,
37,0,0,0,0,0,0,0,9,24,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004732332.meta.json,
8,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004747534.meta.json,
12,0,1,0,1,1,0,1,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004882921.meta.json,
46,0,0,0,0,0,0,0,25,12,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004966509.meta.json,
104,1,3,2,3,10,1,2,42,17,0,1,10,3,0,0,0,2,0,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100513699.meta.json,
55,0,3,0,3,8,0,0,16,9,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005180127.meta.json,
