elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,min,normalized,hasError
14,4,2,1,1,0,0,5,1028972761.meta.json,1,1,0
60,7,3,1,1,8,6,21,1029013936.meta.json,0,0.75,1
39,5,7,2,5,2,5,12,1029021536.meta.json,0,0.5,1
73,16,11,2,2,6,6,32,1029167747.meta.json,0,0.375,1
32,8,6,1,1,0,4,11,1029285703.meta.json,1,1,0
18,2,4,1,2,1,5,5,1029566076.meta.json,0,0.75,1
33,5,4,1,1,4,2,15,1029651176.meta.json,1,1,0
8,2,2,1,1,0,0,3,1029888722.meta.json,1,1,0
72,12,17,3,2,2,8,20,1030199890.meta.json,0,0.375,1
8,2,2,1,1,0,0,3,1030222072.meta.json,1,1,0
3,0,0,0,0,0,2,0,103023911.meta.json,0,0.75,1
12,1,3,1,2,1,2,4,1030257731.meta.json,0,0.875,1
36,8,2,1,1,0,5,7,1030357664.meta.json,0,0.875,1
12,3,2,1,1,0,2,4,1030419971.meta.json,1,1,0
58,5,11,1,1,4,8,21,103042800.meta.json,0,0.625,1
37,8,4,1,1,5,0,19,1030489511.meta.json,1,1,0
38,7,2,1,1,6,4,18,1030705906.meta.json,0,0.875,1
47,10,3,1,2,5,8,20,1030935923.meta.json,0,0.625,1
113,16,5,1,3,9,0,32,1031083123.meta.json,0,0.75,1
31,8,4,2,2,0,6,10,1031135092.meta.json,0,0.625,1
47,8,5,0,0,2,6,10,1031337985.meta.json,0,0.5,1
62,12,11,1,2,3,4,25,1031392831.meta.json,0,0.625,1
40,10,4,1,1,1,7,12,1031414416.meta.json,0,0.75,1
48,15,3,1,2,3,4,22,1031449026.meta.json,0,0.75,1
89,20,3,1,2,15,0,44,1031585442.meta.json,0,0.625,1
19,3,4,2,2,0,5,5,1031601218.meta.json,0,0.625,1
85,27,4,2,2,7,0,46,1031642567.meta.json,0,0.5,1
42,6,8,1,1,3,0,18,1031711789.meta.json,0,0.75,1
20,4,2,1,1,2,2,9,1031729982.meta.json,1,1,0
18,0,0,0,0,0,8,0,1031801213.meta.json,0,0.625,1
33,4,5,2,2,0,11,7,1031851237.meta.json,0,0.625,1
25,5,2,1,1,2,4,9,103186549.meta.json,1,1,0
57,12,4,1,1,6,3,27,1032099534.meta.json,0,0.875,1
178,18,34,5,16,9,10,54,1032261554.meta.json,0,0.25,1
24,4,2,1,1,4,2,11,1032313853.meta.json,1,1,0
231,43,31,1,6,16,13,89,1032361498.meta.json,0,0.25,1
40,3,3,1,2,1,0,6,1032482829.meta.json,0,0.75,1
333,42,65,8,12,18,7,116,1032512291.meta.json,0,0.125,1
64,17,9,3,6,4,5,27,1032800451.meta.json,0,0.375,1
89,25,7,1,3,8,2,44,1032995931.meta.json,0,0.625,1
61,8,9,1,3,1,6,16,1033019365.meta.json,0,0.5,1
66,8,13,1,4,5,9,30,1033239968.meta.json,0,0.5,1
11,2,2,1,1,0,3,3,103338252.meta.json,1,1,0
20,8,1,1,0,0,0,10,1033618072.meta.json,0,0.875,1
82,8,23,2,7,5,5,32,1033632133.meta.json,0,0.375,1
18,3,2,1,1,3,0,9,1033886762.meta.json,1,1,0
39,15,2,1,1,0,5,16,1033978385.meta.json,0,0.75,1
64,4,9,1,4,5,4,19,1034187908.meta.json,0,0.625,1
8,1,2,1,1,0,2,2,1034247350.meta.json,1,1,0
21,2,8,1,2,1,0,10,1034335510.meta.json,0,0.75,1
27,4,4,1,3,0,6,6,103469670.meta.json,0,0.75,1
71,15,6,2,3,4,9,21,1034715661.meta.json,0,0.5,1
37,2,10,2,4,3,4,13,1034724857.meta.json,0,0.625,1
80,13,12,1,0,3,5,28,1034897705.meta.json,0,0.5,1
99,19,3,2,1,4,11,18,1034919934.meta.json,0,0.625,1
102,12,26,4,6,2,10,37,1035058931.meta.json,0,0.25,1
47,13,3,1,2,3,0,27,1035111200.meta.json,0,0.75,1
66,12,8,2,3,3,0,20,1035129037.meta.json,0,0.5,1
153,53,0,0,0,8,7,82,1035131639.meta.json,0,0.25,1
18,3,2,1,1,0,2,4,1035155975.meta.json,1,1,0
50,12,3,1,0,2,4,18,1035193139.meta.json,0,0.75,1
98,15,7,0,1,4,9,28,1035274499.meta.json,0,0.625,1
34,7,6,1,1,0,6,8,1035284164.meta.json,0,0.875,1
75,21,8,1,1,5,2,38,103548326.meta.json,0,0.625,1
