elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
0,1,0,0,0,1,0,1,1036031093.meta.json,
0,1,1,1,1,1,0,1,1036031430.meta.json,
0,1,0,0,1,1,0,1,1036269641.meta.json,
1,1,1,1,1,1,1,1,103633474.meta.json,
0,1,0,0,0,1,1,1,1036346325.meta.json,
0,1,0,0,0,1,0,1,1036372461.meta.json,
0,1,1,1,1,1,1,0,1036482855.meta.json,
1,1,1,1,1,1,1,1,1036483685.meta.json,
0,1,1,1,0,1,0,1,1036565399.meta.json,
1,1,1,0,0,1,1,1,1036581365.meta.json,
1,1,1,1,1,1,1,1,1036752251.meta.json,
1,1,1,1,0,1,0,1,1036884338.meta.json,
1,1,1,1,0,1,1,1,1037195195.meta.json,
0,1,0,0,0,1,0,0,1037263320.meta.json,
0,1,0,0,0,1,1,1,1037531241.meta.json,
0,1,0,0,0,1,0,1,1037559497.meta.json,
0,1,1,0,0,1,0,0,1037584453.meta.json,
0,1,1,1,0,1,0,1,1037624884.meta.json,
0,1,1,1,0,1,1,1,1037663561.meta.json,
0,1,1,1,0,1,0,1,1038050553.meta.json,
0,1,0,0,0,1,0,1,1038193440.meta.json,
1,1,1,1,1,1,0,1,1038249596.meta.json,
0,1,1,1,1,1,0,1,1038278203.meta.json,
0,1,1,1,0,1,0,1,1038331594.meta.json,
0,1,1,1,0,1,0,1,1038751209.meta.json,
0,1,0,0,0,1,0,1,1038896099.meta.json,
0,1,0,0,0,1,0,0,103911185.meta.json,
0,1,0,0,0,1,0,1,1039155719.meta.json,
0,1,1,1,1,1,1,1,1039199550.meta.json,
0,1,1,0,0,1,0,1,1039561600.meta.json,
1,1,1,1,1,1,1,1,1039825859.meta.json,
0,1,1,1,1,1,1,1,1039833969.meta.json,
1,1,1,1,1,1,1,1,1039850241.meta.json,
1,1,1,1,1,1,1,1,1040078651.meta.json,
0,1,0,1,0,0,1,0,1040516350.meta.json,
1,1,1,1,1,1,1,1,1041173391.meta.json,
0,1,1,1,1,1,1,1,1041215828.meta.json,
0,1,0,0,0,1,0,0,104124934.meta.json,
1,1,1,0,0,1,0,1,1041470485.meta.json,
1,1,1,0,0,1,1,1,1041729393.meta.json,
1,1,1,1,1,1,0,1,1041827841.meta.json,
1,1,1,1,1,1,1,1,104205939.meta.json,
1,1,1,1,1,1,1,1,1042061421.meta.json,
0,1,1,0,0,1,1,1,1042142536.meta.json,
