fileName,min,normalized
1042142536.meta.json,0,0.625,
1042164645.meta.json,0,0.75,
104231375.meta.json,0,0.75,
1042317506.meta.json,0,0.75,
1042442687.meta.json,0,0.5,
1042452457.meta.json,0,0.75,
1042670141.meta.json,1,1,
1043130788.meta.json,0,0.625,
1043134396.meta.json,0,0.625,
1043204967.meta.json,1,1,
1043256737.meta.json,0,0.5,
1043349883.meta.json,1,1,
1043375091.meta.json,0,0.5,
1043382837.meta.json,0,0.25,
1043485061.meta.json,0,0.75,
1043504737.meta.json,0,0.625,
1043716184.meta.json,0,0.625,
1043848965.meta.json,0,0.75,
1043899903.meta.json,1,1,
1043998212.meta.json,1,1,
1044157575.meta.json,0,0.75,
1044169378.meta.json,0,0.75,
1044552043.meta.json,0,0.875,
1044592036.meta.json,0,0.625,
1044650777.meta.json,0,0.875,
1044784819.meta.json,0,0.875,
1045043582.meta.json,0,0.375,
1045098224.meta.json,0,0,
1045162329.meta.json,1,1,
1045183252.meta.json,0,0.875,
1045235066.meta.json,1,1,
1045384334.meta.json,0,0.875,
1045697922.meta.json,0,0.75,
104593713.meta.json,0,0.75,
1045971312.meta.json,0,0.5,
104602905.meta.json,0,0.75,
104604014.meta.json,0,0.875,
1046046201.meta.json,0,0.5,
1046048235.meta.json,0,0.75,
1046079307.meta.json,1,1,
1046093636.meta.json,0,0.25,
1046351665.meta.json,0,0.625,
1046376534.meta.json,0,0.75,
1046379656.meta.json,1,1,
1046427929.meta.json,1,1,
1046431735.meta.json,0,0.375,
1046454610.meta.json,0,0.5,
1046629921.meta.json,0,0.5,
1046679779.meta.json,0,0.875,
1046700825.meta.json,0,0.375,
1046734786.meta.json,0,0.5,
1046764262.meta.json,1,1,
1046820050.meta.json,1,1,
1046936548.meta.json,0,0.875,
1047404421.meta.json,1,1,
1047442052.meta.json,0,0.75,
1047510341.meta.json,0,0.625,
1047642669.meta.json,0,0.5,
104777082.meta.json,0,0.875,
1047829738.meta.json,0,0.75,
1047842160.meta.json,1,1,
1047967305.meta.json,0,0.625,
1048036019.meta.json,0,0.375,
1048054967.meta.json,0,0.75,
1048121139.meta.json,1,1,
1048175534.meta.json,0,0.75,
1048256309.meta.json,0,0.875,
1048264048.meta.json,1,1,
104860910.meta.json,0,0.75,
104862537.meta.json,0,0.875,
1048687201.meta.json,0,0.5,
1048703179.meta.json,0,0.625,
1048832532.meta.json,0,0.5,
104884491.meta.json,1,1,
104889377.meta.json,1,1,
1048909527.meta.json,0,0.875,
1049152956.meta.json,0,0.75,
1049305314.meta.json,0,0.875,
1049410711.meta.json,0,0.875,
1049446143.meta.json,0,0.625,
1049468432.meta.json,0,0.625,
1049669579.meta.json,1,1,
1049674837.meta.json,1,1,
1049766257.meta.json,1,1,
1049823263.meta.json,0,0.625,
1050401848.meta.json,1,1,
1050632351.meta.json,0,0.25,
105070660.meta.json,0,0.75,
1050726999.meta.json,0,0.25,
1050881507.meta.json,0,0.125,
1050959562.meta.json,0,0.875,
1050985114.meta.json,1,1,
1051312831.meta.json,0,0.75,
1051424936.meta.json,0,0.75,
1051436249.meta.json,0,0.875,
1051603367.meta.json,1,1,
1051720002.meta.json,1,1,
1051883408.meta.json,0,0.625,
1052097377.meta.json,1,1,
1052139619.meta.json,0,0.5,
1052140550.meta.json,1,1,
1052257765.meta.json,1,1,
1052297546.meta.json,0,0.375,
1052331125.meta.json,0,0.5,
1052409729.meta.json,1,1,
1052559053.meta.json,0,0.5,
1052688826.meta.json,0,0.875,
1052982385.meta.json,0,0.25,
1053091321.meta.json,1,1,
1053202940.meta.json,1,1,
1053233996.meta.json,0,0.875,
1053339331.meta.json,0,0.875,
1053391038.meta.json,0,0.25,
1053468899.meta.json,1,1,
1053476642.meta.json,0,0.875,
1053582611.meta.json,0,0.625,
1053702714.meta.json,1,1,
1053866105.meta.json,1,1,
1053866183.meta.json,0,0.75,
1053873831.meta.json,0,0.25,
1054044613.meta.json,0,0.125,
1054201138.meta.json,0,0.875,
1054258706.meta.json,1,1,
1054304433.meta.json,0,0.75,
105455556.meta.json,0,0.25,
1054825595.meta.json,0,0.875,
1054907721.meta.json,1,1,
105504911.meta.json,0,0.625,
1055289148.meta.json,0,0.625,
105535378.meta.json,1,1,
1055462902.meta.json,1,1,
105551917.meta.json,0,0.5,
1055555072.meta.json,0,0.875,
1055676006.meta.json,1,1,
1055698191.meta.json,0,0.875,
1055713863.meta.json,0,0.75,
1055984555.meta.json,0,0.375,
1056081001.meta.json,0,0.75,
1056240675.meta.json,0,0.75,
1056481312.meta.json,0,0.625,
1056563158.meta.json,0,0.625,
1056649262.meta.json,0,0.875,
1056716714.meta.json,0,0.875,
1056720200.meta.json,0,0.5,
1056750288.meta.json,0,0.25,
1056775115.meta.json,0,0.75,
1056886605.meta.json,0,0.375,
1057005777.meta.json,0,0.75,
1057029867.meta.json,1,1,
1057039141.meta.json,0,0.875,
105712168.meta.json,1,1,
1057338608.meta.json,0,0.75,
1057469773.meta.json,1,1,
1057542200.meta.json,0,0.375,
1057657512.meta.json,0,0.125,
105796949.meta.json,0,0.625,
1057970370.meta.json,0,0.875,
1058289010.meta.json,0,0.75,
1058369279.meta.json,0,0.25,
1058400286.meta.json,0,0.5,
1058489939.meta.json,0,0.75,
1058493588.meta.json,0,0.875,
1058567329.meta.json,0,0.75,
1058570303.meta.json,1,1,
1058793673.meta.json,0,0.875,
105881262.meta.json,0,0.25,
1058939766.meta.json,0,0.875,
105901257.meta.json,0,0.625,
1059073339.meta.json,0,0.125,
1059333677.meta.json,0,0.75,
1059431030.meta.json,0,0.125,
1059778202.meta.json,0,0.75,
1059942549.meta.json,0,0.375,
1060116763.meta.json,0,0.25,
106014777.meta.json,0,0.25,
1060362158.meta.json,1,1,
1060378605.meta.json,1,1,
1060469344.meta.json,1,1,
1060651882.meta.json,0,0.875,
1060715040.meta.json,0,0.75,
106084705.meta.json,1,1,
1060852109.meta.json,0,0.875,
1060873887.meta.json,0,0.625,
1061013710.meta.json,1,1,
1061066464.meta.json,1,1,
1061245591.meta.json,0,0.5,
1061253189.meta.json,0,0.375,
1061312837.meta.json,0,0.5,
1061327177.meta.json,0,0.25,
1061481641.meta.json,0,0.125,
106152897.meta.json,0,0.75,
1061555332.meta.json,1,1,
10619171.meta.json,0,0.75,
1062004369.meta.json,0,0.875,
1062118067.meta.json,0,0.5,
1062142944.meta.json,1,1,
1062206415.meta.json,1,1,
1062293701.meta.json,0,0.5,
1062329509.meta.json,0,0.375,
1062366166.meta.json,0,0.375,
1062440994.meta.json,0,0.875,
1062481272.meta.json,0,0.125,
1062864348.meta.json,0,0.5,
1062922496.meta.json,1,1,
1063026234.meta.json,0,0.625,
1063687897.meta.json,0,0.875,
1063737263.meta.json,0,0.375,
1063862400.meta.json,0,0.75,
1064316989.meta.json,0,0.375,
1064354518.meta.json,0,0.625,
1064361129.meta.json,1,1,
1064515304.meta.json,0,0.75,
106456986.meta.json,1,1,
1064609557.meta.json,0,0.75,
1064798736.meta.json,1,1,
1064799738.meta.json,0,0.625,
1064854167.meta.json,0,0.5,
1064982122.meta.json,0,0.75,
1065048307.meta.json,1,1,
1065048918.meta.json,0,0.625,
1065112408.meta.json,0,0.125,
1065135375.meta.json,0,0.375,
1065295760.meta.json,0,0.75,
1065365481.meta.json,0,0.125,
1065455897.meta.json,1,1,
1065537506.meta.json,0,0.875,
1065559808.meta.json,0,0.875,
1065598846.meta.json,0,0.75,
1065790096.meta.json,0,0.75,
1065933190.meta.json,0,0.75,
1065979309.meta.json,0,0.625,
1065989768.meta.json,0,0.5,
1066130249.meta.json,1,1,
1066158638.meta.json,1,1,
1066443049.meta.json,0,0.625,
1066462825.meta.json,0,0.5,
1066555122.meta.json,0,0.875,
1066785073.meta.json,1,1,
1066833639.meta.json,0,0.625,
1066917310.meta.json,0,0.5,
1067043971.meta.json,1,1,
1067047444.meta.json,1,1,
1067100888.meta.json,0,0.875,
1067168783.meta.json,0,0.75,
1067267784.meta.json,0,0.875,
1067335701.meta.json,0,0.75,
1067397903.meta.json,0,0.75,
1067398714.meta.json,0,0.875,
1067440894.meta.json,0,0.875,
1067525216.meta.json,0,0.625,
106762178.meta.json,1,1,
1067742811.meta.json,0,0.75,
1067797812.meta.json,0,0.25,
1067845084.meta.json,0,0.5,
1068245502.meta.json,0,0.875,
1068359408.meta.json,0,0.75,
1068470140.meta.json,0,0.75,
1068498891.meta.json,0,0.75,
1068807614.meta.json,0,0.75,
106882152.meta.json,0,0.25,
1069107590.meta.json,0,0.625,
1069275060.meta.json,0,0.625,
1069310024.meta.json,1,1,
106933957.meta.json,0,0.625,
1069612758.meta.json,0,0.5,
1069618801.meta.json,1,1,
1069691092.meta.json,0,0.5,
1069704865.meta.json,0,0.75,
1069828486.meta.json,0,0.25,
1069899768.meta.json,0,0.625,
1070125325.meta.json,1,1,
1070299498.meta.json,0,0.375,
1070302721.meta.json,0,0.875,
1070402056.meta.json,0,0.875,
1070425528.meta.json,0,0.625,
10705236.meta.json,1,1,
1070577298.meta.json,0,0.75,
1070624443.meta.json,0,0.5,
1070635668.meta.json,0,0.875,
1070651918.meta.json,0,0.625,
1070767065.meta.json,0,0.875,
1070801828.meta.json,1,1,
1070811881.meta.json,1,1,
1070949422.meta.json,0,0.875,
1071006921.meta.json,1,1,
1071121375.meta.json,0,0.875,
1071199271.meta.json,1,1,
1071277157.meta.json,1,1,
1071361509.meta.json,0,0.375,
1071385818.meta.json,1,1,
107146504.meta.json,0,0.625,
1071676883.meta.json,0,0.875,
107168023.meta.json,0,0.875,
107192435.meta.json,0,0.75,
1072036927.meta.json,0,0.625,
107227795.meta.json,0,0.75,
1072312996.meta.json,0,0.25,
1072413849.meta.json,1,1,
1072611003.meta.json,0,0.375,
1072642347.meta.json,0,0.375,
1072689630.meta.json,0,0.875,
1072707210.meta.json,0,0.625,
1072715785.meta.json,0,0.25,
107273136.meta.json,1,1,
1072736347.meta.json,0,0.5,
1072773594.meta.json,0,0.875,
1072844002.meta.json,0,0.875,
1072886072.meta.json,0,0.625,
1073171981.meta.json,0,0.5,
1073199709.meta.json,1,1,
1073294295.meta.json,0,0.625,
1073435803.meta.json,0,0.5,
1073525857.meta.json,0,0.75,
1073694213.meta.json,0,0.75,
1073757691.meta.json,0,0.625,
1073798553.meta.json,0,0.625,
1073989502.meta.json,0,0.5,
1073989552.meta.json,0,0.875,
1074015617.meta.json,0,0.625,
1074184432.meta.json,0,0.5,
1074286493.meta.json,0,0.875,
1074357318.meta.json,0,0.75,
107436226.meta.json,0,0.625,
1074469537.meta.json,0,0.75,
1074662031.meta.json,1,1,
1074703279.meta.json,0,0.75,
1074775346.meta.json,0,0.75,
1075021130.meta.json,0,0.375,
1075134333.meta.json,1,1,
1075382274.meta.json,0,0.25,
1075479164.meta.json,0,0.75,
1075640496.meta.json,0,0.875,
1075720640.meta.json,0,0.625,
1075776148.meta.json,0,0.625,
1075862284.meta.json,0,0.75,
1076144665.meta.json,0,0.625,
107633490.meta.json,1,1,
1076353098.meta.json,0,0.625,
1076439938.meta.json,0,0.625,
1076469240.meta.json,0,0.875,
1076491105.meta.json,0,0.875,
1076516487.meta.json,1,1,
107652074.meta.json,1,1,
1076568181.meta.json,0,0.75,
1076658728.meta.json,0,0.875,
1076676195.meta.json,0,0.875,
1076698582.meta.json,0,0.875,
1077144984.meta.json,1,1,
1077216254.meta.json,0,0.75,
1077258635.meta.json,0,0.75,
1077297330.meta.json,1,1,
1077315035.meta.json,0,0.875,
1077333205.meta.json,0,0.25,
1077357129.meta.json,1,1,
1077480323.meta.json,0,0.75,
1077633664.meta.json,0,0.875,
1077733223.meta.json,0,0.875,
1077773270.meta.json,1,1,
1077986698.meta.json,0,0.875,
1078062603.meta.json,0,0.625,
1078071538.meta.json,1,1,
1078103182.meta.json,0,0,
1078123089.meta.json,0,0.875,
1078141281.meta.json,0,0.75,
107821297.meta.json,0,0.75,
1078245406.meta.json,0,0.375,
1078269279.meta.json,1,1,
1078557302.meta.json,0,0.25,
1078622781.meta.json,0,0.375,
1078633490.meta.json,1,1,
1078650788.meta.json,1,1,
1078680159.meta.json,0,0.875,
1078730954.meta.json,1,1,
1078820957.meta.json,1,1,
1078910042.meta.json,0,0.625,
1078911265.meta.json,0,0.75,
1078944539.meta.json,1,1,
1078967227.meta.json,1,1,
1079087121.meta.json,0,0.875,
1079170847.meta.json,0,0.75,
1079347618.meta.json,0,0.75,
1079515668.meta.json,0,0.875,
107961210.meta.json,1,1,
1079636522.meta.json,0,0.875,
1079747290.meta.json,1,1,
1079948301.meta.json,0,0.875,
1079956981.meta.json,1,1,
1079978105.meta.json,0,0.625,
1080036079.meta.json,0,0.75,
1080063248.meta.json,0,0.375,
1080091845.meta.json,0,0.875,
1080229300.meta.json,0,0.875,
1080300891.meta.json,0,0.75,
108031836.meta.json,0,0.875,
1080383611.meta.json,1,1,
1080396160.meta.json,0,0.375,
1080412654.meta.json,0,0.5,
1080465652.meta.json,0,0.375,
1080514728.meta.json,1,1,
1080541958.meta.json,1,1,
1080546118.meta.json,0,0.125,
1080681281.meta.json,1,1,
1080703250.meta.json,0,0.5,
1080727648.meta.json,0,0.75,
1080886926.meta.json,1,1,
1080907908.meta.json,0,0.875,
1081364078.meta.json,0,0.75,
1081477493.meta.json,0,0.75,
1081482829.meta.json,0,0.875,
1081503149.meta.json,0,0.375,
1081511532.meta.json,0,0.625,
1081659524.meta.json,0,0.625,
1081696444.meta.json,0,0.375,
1081889914.meta.json,0,0.5,
1081907910.meta.json,1,1,
1082065623.meta.json,0,0.875,
1082354832.meta.json,0,0.5,
1082452113.meta.json,0,0.75,
108256378.meta.json,0,0.625,
1082682465.meta.json,1,1,
1082695978.meta.json,0,0.75,
1082729770.meta.json,0,0.125,
1082869226.meta.json,1,1,
1082877129.meta.json,0,0.5,
1082947707.meta.json,0,0.375,
1082974660.meta.json,0,0.75,
1083025710.meta.json,0,0.875,
1083150354.meta.json,0,0.25,
1083155296.meta.json,1,1,
1083250513.meta.json,0,0.75,
1083324454.meta.json,0,0.875,
1083362569.meta.json,0,0.75,
1083375782.meta.json,0,0.875,
1083445328.meta.json,0,0.625,
1083471950.meta.json,0,0.75,
1083514496.meta.json,0,0.75,
1083570698.meta.json,0,0.75,
1083590871.meta.json,0,0.75,
1083726025.meta.json,0,0.625,
108382465.meta.json,1,1,
1084054501.meta.json,1,1,
1084570176.meta.json,1,1,
1084795131.meta.json,1,1,
1084807158.meta.json,0,0.5,
1084860827.meta.json,1,1,
1085014923.meta.json,1,1,
1085048410.meta.json,0,0.5,
1085164812.meta.json,0,0.75,
1085228161.meta.json,0,0.875,
1085275397.meta.json,0,0.625,
1085458847.meta.json,0,0.875,
108550595.meta.json,0,0.875,
1085520909.meta.json,0,0.875,
1085740983.meta.json,0,0.625,
1085764830.meta.json,0,0.75,
1086178141.meta.json,0,0.75,
1086277850.meta.json,0,0.875,
108638106.meta.json,1,1,
1086397280.meta.json,1,1,
1086493814.meta.json,0,0.375,
1086518477.meta.json,0,0.75,
1086535226.meta.json,0,0.625,
1086686710.meta.json,0,0.75,
1086905462.meta.json,0,0.625,
